reg_code;reg_name;road_code;road_name;road_type;oktmo;address;crash_type_name;crash_date;crash_time;crash_reason;fatalities_amount;victims_amount;vehicles_amount;participants_amount;latitude;longitude
75;Челябинская область;М-5;"""Урал"" Москва - Рязань - Пенза - Самара - Уфа – Челябинск (основное направление)";Федеральная дорога общего пользования;75649000;УФО, Челябинская область, Саткинский район;Столкновение;20181216;19:30:00;Выезд на полосу встречного движения;1;1;3;3;55.100208;59.276068
81;Республика Бурятия;А-340;Улан-Удэ - Кяхта - граница с Монголией;Федеральная дорога общего пользования;81633000;ДФО, Республика Бурятия, Кяхтинский район;Опрокидывание;20181216;19:30:00;Другие нарушения ПДД водителями;1;0;1;2;50.537476;106.375358
4;Красноярский край;;Глубокий Обход г. Красноярск;Региональная или межмуниципальная дорога общего пользования;4605000;СФО, Красноярский край, Березовский район;Наезд на препятствие;20181216;19:30:00;Нарушение правил расположения ТС на проезжей части;1;0;2;12;56.086524;93.174577
71;Тюменская область;;Бердюжье - Армизонское;Региональная или межмуниципальная дорога общего пользования;71610000;УФО, Тюменская область, Бердюжский район;Столкновение;20181216;19:16:00;Несоблюдение очередности проезда;1;0;3;3;55.790461;68.246105
20;Воронежская область;А-134;"подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Воронежу";Федеральная дорога общего пользования;20643000;ЦФО, Воронежская область, Рамонский район;Наезд на пешехода;20181216;19:10:00;Нарушение правил проезда пешеходного перехода;1;0;1;2;51.805776;39.204218
33;Кировская область;;Яранск-Кикнур-граница с Нижегородской областью;Региональная или межмуниципальная дорога общего пользования;33616000;ПФО, Кировская область, Кикнурский район;Столкновение;20181216;19:00:00;Нарушение правил обгона, Выезд на полосу встречного движения;7;2;2;7;57.376426;47.084763
3;Краснодарский край;;г.Краснодар - г.Ейск;Региональная или межмуниципальная дорога общего пользования;3610000;ЮФО, Краснодарский край, Брюховецкий район;Столкновение;20181216;18:50:00;Несоблюдение очередности проезда;2;0;2;3;45.767867;38.9902
57;Пермский край;;Голдыри-Орда-Октябрьский;Региональная или межмуниципальная дорога общего пользования;57638000;ПФО, Пермский край, Ординский район;Наезд на препятствие;20181216;18:45:00;Несоответствие скорости конкретным условиям движения;3;0;1;3;56.944278;56.992532
65;Свердловская область;;г.Екатеринбург - г.Невьянск;Региональная или межмуниципальная дорога общего пользования;65732000;УФО, Свердловская область, Верхняя Пышма;Столкновение;20181216;18:45:00;Несоответствие скорости конкретным условиям движения, Выезд на полосу встречного движения;1;0;2;3;57.07696;60.595973
36;Самарская область;М-5;"""Урал"" Москва - Рязань - Пенза - Самара - Уфа – Челябинск (основное направление)";Федеральная дорога общего пользования;36614000;ПФО, Самарская область, Волжский район;Наезд на стоящее ТС;20181216;18:40:00;Другие нарушения ПДД водителями;1;0;3;2;53.50429;49.987577
